
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,41.08,53.17,64.53,48.38,48.14,115.16,91.17,63.00,66.28,97.06,37.85,73.99
1902,33.06,74.26,71.42,64.19,95.74,80.05,54.93,65.23,68.05,98.68,17.19,61.63
1903,24.47,17.45,26.49,85.12,81.86,96.40,86.02,23.20,43.64,88.59,62.86,47.53
1904,36.10,62.48,45.14,36.72,45.68,80.34,33.78,39.74,79.73,80.26,46.29,43.19
1905,37.32,38.60,40.30,79.98,89.74,108.46,58.44,30.17,51.63,153.65,67.92,17.41
1906,48.64,39.96,56.61,33.87,80.08,132.34,60.54,60.83,94.01,29.78,59.99,106.71
1907,45.53,34.72,28.61,84.64,39.26,80.53,47.24,21.41,28.15,27.21,52.94,69.36
1908,50.36,71.22,47.82,74.76,29.86,37.20,52.20,64.76,33.30,29.47,86.71,41.46
1909,36.11,36.68,58.34,31.94,109.40,78.07,63.18,72.57,103.69,44.72,92.74,83.57
1910,68.81,47.07,19.47,84.28,92.78,94.06,98.86,58.92,102.26,52.09,97.36,47.54
1911,38.19,28.70,21.12,63.57,103.12,74.07,43.09,59.04,97.67,53.43,29.68,48.78
1912,72.76,42.74,73.90,87.77,97.57,61.09,60.57,57.94,118.52,66.35,86.95,50.38
1913,42.44,22.00,12.80,49.57,107.86,116.21,116.10,101.65,78.95,22.10,47.52,58.85
1914,49.43,17.36,92.90,40.41,85.66,113.27,121.64,32.92,88.59,72.30,52.77,58.30
1915,91.15,49.77,65.78,63.44,115.67,136.13,136.09,70.83,63.30,146.44,65.57,50.86
1916,26.90,38.01,49.13,71.93,98.17,47.82,59.60,58.17,84.39,88.31,63.29,66.87
1917,78.47,35.20,61.40,53.91,36.77,44.12,60.91,32.80,31.22,69.26,69.25,59.34
1918,35.07,23.25,31.60,37.84,69.17,80.26,67.86,64.03,25.02,88.62,59.03,71.68
1919,43.21,44.39,67.29,96.49,120.29,64.37,110.52,45.73,48.53,93.59,94.83,67.08
1920,51.22,26.50,57.10,53.89,66.48,116.15,76.10,49.59,44.93,36.43,26.37,59.45
1921,29.78,33.23,16.38,57.98,70.83,141.78,41.66,71.45,19.54,22.55,97.34,54.38
1922,72.92,57.71,49.02,88.07,59.60,82.21,35.20,24.71,112.04,141.03,57.12,24.25
1923,45.25,64.56,54.01,47.99,51.28,88.34,57.13,44.91,33.77,61.56,94.26,81.47
1924,38.99,67.31,40.96,100.95,63.97,127.29,67.64,81.53,66.32,65.53,45.75,20.32
1925,13.57,45.07,42.07,60.07,93.83,111.72,84.50,52.11,111.96,45.62,118.98,98.84
