date,height,error
2019-01-08,70.289,0.0178
2019-02-04,70.463,0.0957
2019-03-03,70.843,0.0035
2019-03-30,71.392,0.0029
2019-04-26,70.415,0.2047
2019-06-19,72.434,0.0126
2019-07-16,70.993,0.4281
2019-08-12,70.439,0.0225
2019-09-08,69.881,0.5935
2019-10-05,69.64,0.042
2019-11-01,69.677,0.0058
2019-11-28,71.112,0.0883
2019-12-25,70.692,0.0612
2020-01-21,69.738,0.1415
2020-02-17,71.149,0.0628
2020-03-15,71.845,0.0333
2020-05-08,70.219,0.0279
2020-06-04,70.096,0.04
2020-07-01,71.918,0.1485
2020-07-28,70.768,0.1108
2020-08-24,70.45,0.0046
2020-09-20,70.095,0.0114
2020-10-17,71.142,0.1264
2020-11-13,70.829,0.5618
2020-12-10,70.261,0.1388
2021-01-06,72.015,0.1334
2021-02-02,72.059,0.0397
2021-03-01,71.701,0.1128
2021-04-24,71.008,0.1191
2021-06-17,71.029,0.0436
2021-07-14,70.509,0.1145
2021-08-10,70.556,0.0584
2021-10-30,69.888,0.101
2021-11-26,70.118,0.0838
2021-12-23,70.813,0.1201
2022-01-19,70.865,0.038
2022-02-15,70.078,0.0301
2022-03-14,70.266,0.1234
2022-04-10,70.335,0.193
2022-05-07,70.07,0.1895
2022-06-03,69.88,0.0705
2022-06-30,69.56,0.1478
2022-10-16,69.843,0.1743
