date,height,error
2016-03-04,76.319,0.1712
2016-03-31,75.712,0.0325
2016-05-24,74.813,0.0221
2016-06-20,72.809,0.0234
2016-07-17,71.646,0.0072
2016-08-13,71.701,0.0217
2016-09-09,71.115,0.0114
2016-10-06,70.84,0.039
2016-11-02,72.339,0.0404
2016-11-29,73.775,0.0056
2016-12-26,71.313,0.0208
2017-01-22,71.578,0.0172
2017-02-18,73.566,0.0013
2017-03-17,74.844,0.0271
2017-04-13,71.82,0.0746
2017-05-10,73.444,0.147
2017-06-06,71.912,0.069
2017-07-03,70.782,0.0749
2017-07-30,70.407,0.1421
2017-08-26,70.812,0.0216
2017-09-22,71.203,0.0509
2017-10-19,70.988,0.1415
2017-11-15,72.948,0.0051
2017-12-12,73.437,0.1158
2018-01-08,74.89,0.0225
2018-02-04,73.666,0.0461
2018-03-03,74.016,0.0046
2018-03-30,76.691,0.0605
2018-04-26,74.928,0.1832
2018-05-23,73.84,0.1895
2018-06-19,72.648,0.225
2018-07-16,72.443,0.0588
2018-08-12,71.35,0.147
2018-09-08,71.448,0.0214
2018-10-05,70.584,0.3408
2018-11-01,70.88,0.0072
2018-11-28,71.261,0.2394
2018-12-25,71.554,0.0255
2019-01-21,71.544,0.1334
2019-02-17,73.682,0.1685
2019-03-16,72.955,0.0477
2019-04-12,72.669,0.014
2019-05-09,73.691,0.1282
2019-06-05,75.808,0.1276
2019-07-02,72.331,0.0204
2019-07-29,71.064,0.008
2019-08-25,71.085,0.0023
2019-09-21,70.691,0.0593
2019-10-18,70.668,0.0484
2019-11-14,73.359,0.027
2019-12-11,73.48,0.0258
2020-01-07,72.671,0.1773
2020-02-03,71.738,0.0012
2020-03-01,72.138,0.1877
2020-03-28,71.856,0.1267
2020-04-24,71.405,0.071
2020-06-17,71.914,0.0767
2020-07-14,71.495,0.018
2020-08-10,72.229,0.019
2020-09-06,71.327,0.0232
2020-10-03,71.867,0.036
2020-11-26,72.413,0.0575
2020-12-23,72.088,0.0042
2021-01-19,73.833,0.138
2021-02-15,76.4,0.1686
2021-03-14,72.591,0.0112
2021-04-10,73.245,0.0075
2021-05-07,73.209,0.0176
2021-06-03,73.519,0.0237
2021-06-30,71.488,0.0496
2021-07-27,71.646,0.1377
2021-08-23,70.883,0.0285
2021-09-19,70.574,0.1369
2021-10-16,72.276,0.0071
2021-11-12,73.576,0.0223
2021-12-09,75.378,0.0149
2022-02-01,71.152,0.0079
2022-02-28,72.403,0.0205
2022-03-27,70.96,0.131
2022-04-23,71.97,0.1437
2022-05-20,71.582,0.0176
2022-06-16,71.553,0.0095
2022-10-02,71.272,0.0657
2022-10-29,70.349,0.0023
2022-11-25,74.485,0.0264
