date,height,error
2002-07-06,72.938,0.04
2002-08-10,72.852,0.064
2002-09-14,73.013,0.018
2002-10-19,74.335,0.008
2002-11-23,75.696,0.011
2002-12-28,73.907,0.036
2003-02-01,74.309,0.019
2003-03-08,73.211,0.01
2003-04-12,73.643,0.005
2003-05-17,73.433,0.053
2003-06-21,73.024,0.003
2003-07-26,72.04,0.043
2003-08-30,70.639,0.011
2003-10-04,71.543,0.047
2003-11-08,72.811,0.023
2003-12-13,71.882,0.003
2004-01-17,72.691,0.047
2004-02-21,73.211,0.01
2004-03-27,74.636,0.025
2004-05-01,75.177,0.002
2004-06-05,74.341,0.01
2004-07-10,70.509,0.01
2004-08-14,72.552,0.022
2004-09-18,72.082,0.004
2004-10-23,73.074,0.005
2004-11-27,73.68,0.024
2005-01-01,73.537,0.029
2005-02-05,72.315,0.048
2005-03-12,72.813,0.058
2005-04-16,75.736,0.027
2005-06-25,73.672,0.075
2005-07-30,73.683,0.014
2005-09-03,76.621,0.004
2005-10-08,73.695,0.028
2005-11-12,73.681,0.123
2005-12-17,73.52,0.133
2006-01-21,73.031,0.006
2006-02-25,73.98,0.03
2006-04-01,75.609,0.021
2006-05-06,77.285,0.004
2006-06-10,76.895,0.029
2006-07-15,73.929,0.041
2006-08-19,74.698,0.016
2006-09-23,72.591,0.018
2006-10-28,71.8,0.008
2006-12-02,73.409,0.063
2007-01-06,71.941,0.133
2007-02-10,73.272,0.033
2007-03-17,74.281,0.008
2007-04-21,73.22,0.029
2007-05-26,73.419,0.005
2007-08-04,72.281,0.113
2007-09-08,72.583,0.059
2007-10-13,73.815,0.008
2007-11-17,74.218,0.025
2007-12-22,73.962,0.017
2008-01-26,73.713,0.01
2008-03-01,73.176,0.35
2008-04-05,74.248,0.013
2008-05-10,74.043,0.006
2008-06-14,74.482,0.018
2008-07-19,73.236,0.056
2008-08-23,74.254,0.041
2008-09-27,72.355,0.046
2008-11-01,73.299,0.001
2008-12-06,72.797,0.007
2009-01-10,72.449,0.002
2009-02-14,73.961,0.016
2009-03-21,75.605,0.006
2009-04-25,75.647,0.016
2009-05-30,74.579,0.008
2009-07-04,76.435,0.021
2009-08-08,73.725,0.038
2009-09-12,73.293,0.055
2009-10-17,72.367,0.019
2009-11-21,73.236,0.041
2009-12-26,72.864,0.033
2010-01-30,72.464,0.019
2010-04-10,74.19,0.031
2010-05-15,74.258,0.001
2010-06-19,77.546,0.006
2010-07-24,73.643,0.011
2010-08-28,73.908,0.073
2010-10-02,74.267,0.003
2013-04-01,74.438,0.006
2013-05-06,75.758,0.006
2013-06-10,76.049,0.017
2013-07-15,73.349,0.017
2013-08-19,71.282,0.037
2013-09-23,72.95,0.007
2013-10-28,72.627,0.002
2013-12-02,73.331,0.022
2014-01-06,72.273,0.028
2014-02-10,72.902,0.014
2014-03-17,72.559,0.013
2014-04-21,72.996,0.008
2014-05-26,73.153,0.007
2014-06-30,72.59,0.023
2014-08-04,73.663,0.015
2014-09-08,73.418,0.008
2014-10-13,71.284,0.082
2014-11-17,74.047,0.002
2014-12-22,72.941,0.048
2015-01-26,73.171,0.002
2015-03-02,73.43,0.016
2015-04-06,73.606,0.018
2015-05-11,72.455,0.001
2015-07-20,72.28,0.001
2015-08-24,71.669,0.033
2015-09-28,71.528,0.011
2015-11-02,72.282,0.022
2015-12-07,73.181,0.01
2016-01-11,72.33,0.007
2016-02-15,73.189,0.011
2016-03-21,73.061,0.003
2016-04-25,73.164,0.022
2016-05-30,72.434,0.006
